id,project_id,name,image,requires_address,description,delivery_date,available,amount,post_modified,post_date,created_at,updated_at,,,,,,,
4873,487,250,NULL,NULL,Enjoy your morning beverage in our travel coffee mug with LSC's logo proudly displayed.,NULL,NULL,250,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
4874,487,500,NULL,NULL,"Learn more about the experience of unaccompanied children by reading our special gift to you: ENRIQUE'S JOURNEY, by Pulitzer Prize winning journalist, Sonia Nazario.",NULL,NULL,500,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
4890,489,25,NULL,NULL,$25 will help provide a basket of food for a family,NULL,NULL,25,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
4891,489,50,NULL,NULL,$50 will help provide clothing and shoes for one child	,NULL,NULL,50,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
4892,489,100,NULL,NULL,$100 will help pass a resolution at the city council level,NULL,NULL,100,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
4893,489,250,NULL,NULL,$250 will help organize an advocacy event reaching 100 people in churches and communities,NULL,NULL,250,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
4894,489,500,NULL,NULL,$500 will help provide legal representation for a child or family so that they may bring a strong case to court and be granted refugee status,NULL,NULL,500,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
4910,491,25,NULL,NULL,We will publicly announce your name on our social media!	,NULL,NULL,25,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
4911,491,100,NULL,NULL,We will mail you a personal thank you letter.,NULL,NULL,100,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
4912,491,150,NULL,NULL,We will mail you a certificate of appreciation signed by our Executive Director,NULL,NULL,150,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
4913,491,200,NULL,NULL,We will include your name in our next Newsletter!	,NULL,NULL,200,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
4914,491,300,NULL,NULL,We will send you a Centro Presente T-Shirt!,NULL,NULL,300,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
4960,496,10,,,A personal thank you from us at Social Justice Collaborative with our eternal gratitude,,,10,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
4961,496,30,,,SJC branded water bottle,,,30,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
4962,496,50,,,An SJC branded T shirt,,,50,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
5020,502,10,NULL,NULL,We know you have tons of bookmarks but we will send you the most awesome bookmark of all!,NULL,NULL,10,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
5021,502,25,NULL,NULL,We know you LOVE books! We will send a Thank you note and a virtual hug from the kids.,NULL,NULL,25,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
5022,502,50,NULL,NULL,We share your secret! We will send you a personalized digital picture + thank you note + virtual hug from the kids.,NULL,NULL,50,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
5023,502,100,NULL,NULL,"It's not a secret! You love books and want to share the books with everybody, We will send you a personalized printed picture 6x4 + thank you note + virtual hug from the kids.",NULL,NULL,100,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
5024,502,250,NULL,NULL,Your ideal job is at a library! We will send you personalized printed picture 6x4 and 8x12+ Thank you note + virtual hug from the kids.,NULL,NULL,250,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
5025,502,500,NULL,NULL,You are just like us! We will send an exclusive video from Schools in Chiltiupán + personalized printed photo 6x4 and 8x12 + notepad +Thank you note + virtual hug from the kids.,NULL,NULL,500,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
5030,503,150,NULL,NULL,"Donations of $150 and more will be invited to attend the reception of the conference, Friday 10th of April at 7 pm at the University of Texas at Austin.",NULL,NULL,150,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
5031,503,300,NULL,NULL,"In addition to attending the reception, donations of $300 and more will be invited to attend the opening and closing ceremonies of the conference, given by Dr. Carlos Blanco and Laureano Marquez respectively.",NULL,NULL,300,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
5050,505,10,NULL,NULL,"Thanks for helping out. Every dollar makes a difference. For your efforts you get a video card from the Team, saying “Gracias”.",NULL,NULL,10,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
5051,505,25,NULL,NULL,"You’re pretty remarkable. For lending a hand, you get a video card from the Team and some ExES Pens. Something to write down how great you felt making a difference in a child’s life.",NULL,NULL,25,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
5052,505,50,NULL,NULL,"You’re outstanding! You must know how important a quality education is for a child and a community. Thank you for being part of this positive change. For standing out you get a video card from the Team, some ExES pens”, and an Enseña water bottle. Being t",NULL,NULL,50,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
5053,505,100,NULL,NULL,A+. This is incredible. You’re incredible. Your commitment to helping support education and end violence is invaluable. Thank you for joining the many who want to see a better today for the children of El Salvador. For being outstanding you get a video car,NULL,NULL,100,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
5054,505,150,NULL,NULL,"You’re a lifelong learner and an amazing person. Your pledge to help rebuild hope for the children of El Salvador is greatly appreciated. For helping us out in our journey, you get a video card from the Team, some “special Enseña pens”, an Enseña water bot",NULL,NULL,150,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
5055,505,300,NULL,NULL,"You’re it. Your passion to make a difference is immense. It makes a huge commitment towards ending violence. Thank you from the bottom of our hearts. For being such a crucial part of our success, you get a video card from the Team, some “special Enseña pen",NULL,NULL,300,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
5060,506,50,NULL,NULL,T- shirt with Children's Wellness Center logo,NULL,NULL,50,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
5061,506,100,NULL,NULL,T- shirt and Coffee Mug with Children's Wellness Center logo,NULL,NULL,100,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
5062,506,150,NULL,NULL,"T- shirt, Mug & Wall Calendar w/ Children's Wellness Center logo",NULL,NULL,150,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
5070,507,30,,NULL,If you give at least 30$ you will be provided with a personalized email from a team member telling their story of how your donation will impact,NULL,NULL,30,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
5071,507,100,,NULL,"If you donate $100 you will receive a personalized email from a student, who is benefitting from the program",NULL,NULL,100,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
5072,507,500,,NULL,f you donate $500 dollars you will receive a personalized video from a classroom of students benefitting from the training provided to Teach for Mexico teachers,NULL,NULL,500,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
5080,508,30,,NULL,You are making a difference for these people! Thank you!,NULL,NULL,30,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
5081,508,55,,NULL,Small recycled notebook includes a pen. Thanks for supporting this cause!,NULL,NULL,55,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
5082,508,75,,NULL,Notebook with strap. Thanks for supporting our cause!!!,NULL,NULL,75,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
5090,509,25,NULL,NULL,We will recognize your donation on Yspaniola social media platforms,NULL,NULL,25,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
5091,509,50,NULL,NULL,"A personalized email with a special \Thank you\"" photo from the students of Batey Libertad""",NULL,NULL,50,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
